Logische Periode ; Endzeitstempel ; Wert ; Status ; Tarif 
01.01.2017;00:15:00;137,5;W;T0 
01.01.2017;00:30:00;67,5;W;T0 
01.01.2017;00:45:00;62,5;W;T0 
01.01.2017;01:00:00;87,5;W;T0 
01.01.2017;01:15:00;95;W;T0 
01.01.2017;01:30:00;122,5;W;T0 
01.01.2017;01:45:00;152,5;W;T0 
01.01.2017;02:00:00;152,5;W;T0 
01.01.2017;02:15:00;150;W;T0 
01.01.2017;02:30:00;197,5;W;T0 
01.01.2017;02:45:00;222,5;W;T0 
01.01.2017;03:00:00;207,5;W;T0 
01.01.2017;03:15:00;180;W;T0 
01.01.2017;03:30:00;220;W;T0 
01.01.2017;03:45:00;250;W;T0 
01.01.2017;04:00:00;277,5;W;T0 
01.01.2017;04:15:00;272,5;W;T0 
01.01.2017;04:30:00;230;W;T0 
01.01.2017;04:45:00;202,5;W;T0 
01.01.2017;05:00:00;182,5;W;T0 
01.01.2017;05:15:00;150;W;T0 
01.01.2017;05:30:00;160;W;T0 
01.01.2017;05:45:00;137,5;W;T0 
01.01.2017;06:00:00;180;W;T0 
01.01.2017;06:15:00;140;W;T0 
01.01.2017;06:30:00;187,5;W;T0 
01.01.2017;06:45:00;185;W;T0 
01.01.2017;07:00:00;192,5;W;T0 
01.01.2017;07:15:00;157,5;W;T0 
01.01.2017;07:30:00;77,5;W;T0 
01.01.2017;07:45:00;110;W;T0 
01.01.2017;08:00:00;165;W;T0 
01.01.2017;08:15:00;157,5;W;T0 
01.01.2017;08:30:00;147,5;W;T0 
01.01.2017;08:45:00;132,5;W;T0 
01.01.2017;09:00:00;120;W;T0 
01.01.2017;09:15:00;97,5;W;T0 
01.01.2017;09:30:00;135;W;T0 
01.01.2017;09:45:00;170;W;T0 
01.01.2017;10:00:00;165;W;T0 
01.01.2017;10:15:00;125;W;T0 
01.01.2017;10:30:00;135;W;T0 
01.01.2017;10:45:00;85;W;T0 
01.01.2017;11:00:00;92,5;W;T0 
01.01.2017;11:15:00;85;W;T0 
01.01.2017;11:30:00;162,5;W;T0 
01.01.2017;11:45:00;192,5;W;T0 
01.01.2017;12:00:00;177,5;W;T0 
01.01.2017;12:15:00;180;W;T0 
01.01.2017;12:30:00;145;W;T0 
01.01.2017;12:45:00;107,5;W;T0 
01.01.2017;13:00:00;107,5;W;T0 
01.01.2017;13:15:00;100;W;T0 
01.01.2017;13:30:00;85;W;T0 
01.01.2017;13:45:00;120;W;T0 
01.01.2017;14:00:00;70;W;T0 
01.01.2017;14:15:00;87,5;W;T0 
01.01.2017;14:30:00;127,5;W;T0 
01.01.2017;14:45:00;72,5;W;T0 
01.01.2017;15:00:00;90;W;T0 
01.01.2017;15:15:00;80;W;T0 
01.01.2017;15:30:00;150;W;T0 
01.01.2017;15:45:00;187,5;W;T0 
01.01.2017;16:00:00;182,5;W;T0 
01.01.2017;16:15:00;187,5;W;T0 
01.01.2017;16:30:00;65;W;T0 
01.01.2017;16:45:00;20;W;T0 
01.01.2017;17:00:00;52,5;W;T0 
01.01.2017;17:15:00;60;W;T0 
01.01.2017;17:30:00;37,5;W;T0 
01.01.2017;17:45:00;35;W;T0 
01.01.2017;18:00:00;67,5;W;T0 
01.01.2017;18:15:00;107,5;W;T0 
01.01.2017;18:30:00;105;W;T0 
01.01.2017;18:45:00;142,5;W;T0 
01.01.2017;19:00:00;125;W;T0 
01.01.2017;19:15:00;155;W;T0 
01.01.2017;19:30:00;190;W;T0 
01.01.2017;19:45:00;135;W;T0 
01.01.2017;20:00:00;140;W;T0 
01.01.2017;20:15:00;200;W;T0 
01.01.2017;20:30:00;180;W;T0 
01.01.2017;20:45:00;275;W;T0 
01.01.2017;21:00:00;435;W;T0 
01.01.2017;21:15:00;390;W;T0 
01.01.2017;21:30:00;355;W;T0 
01.01.2017;21:45:00;390;W;T0 
01.01.2017;22:00:00;417,5;W;T0 
01.01.2017;22:15:00;422,5;W;T0 
01.01.2017;22:30:00;395;W;T0 
01.01.2017;22:45:00;320;W;T0 
01.01.2017;23:00:00;350;W;T0 
01.01.2017;23:15:00;430;W;T0 
01.01.2017;23:30:00;467,5;W;T0 
01.01.2017;23:45:00;375;W;T0 
02.01.2017;00:00:00;355;W;T0 
02.01.2017;00:15:00;310;W;T0 
02.01.2017;00:30:00;230;W;T0 
02.01.2017;00:45:00;152,5;W;T0 
02.01.2017;01:00:00;102,5;W;T0 
02.01.2017;01:15:00;50;W;T0 
02.01.2017;01:30:00;30;W;T0 
02.01.2017;01:45:00;20;W;T0 
02.01.2017;02:00:00;67,5;W;T0 
02.01.2017;02:15:00;142,5;W;T0 
02.01.2017;02:30:00;77,5;W;T0 
02.01.2017;02:45:00;90;W;T0 
02.01.2017;03:00:00;65;W;T0 
02.01.2017;03:15:00;22,5;W;T0 
02.01.2017;03:30:00;35;W;T0 
02.01.2017;03:45:00;42,5;W;T0 
02.01.2017;04:00:00;27,5;W;T0 
02.01.2017;04:15:00;0;W;T0 
02.01.2017;04:30:00;2,5;W;T0 
02.01.2017;04:45:00;2,5;W;T0 
02.01.2017;05:00:00;0;W;T0 
02.01.2017;05:15:00;0;W;T0 
02.01.2017;05:30:00;2,5;W;T0 
02.01.2017;05:45:00;0;W;T0 
02.01.2017;06:00:00;0;W;T0 
02.01.2017;06:15:00;5;W;T0 
02.01.2017;06:30:00;82,5;W;T0 
02.01.2017;06:45:00;282,5;W;T0 
02.01.2017;07:00:00;310;W;T0 
02.01.2017;07:15:00;160;W;T0 
02.01.2017;07:30:00;17,5;W;T0 
02.01.2017;07:45:00;60;W;T0 
02.01.2017;08:00:00;110;W;T0 
02.01.2017;08:15:00;85;W;T0 
02.01.2017;08:30:00;112,5;W;T0 
02.01.2017;08:45:00;125;W;T0 
02.01.2017;09:00:00;17,5;W;T0 
02.01.2017;09:15:00;207,5;W;T0 
02.01.2017;09:30:00;307,5;W;T0 
02.01.2017;09:45:00;155;W;T0 
02.01.2017;10:00:00;157,5;W;T0 
02.01.2017;10:15:00;105;W;T0 
02.01.2017;10:30:00;155;W;T0 
02.01.2017;10:45:00;195;W;T0 
02.01.2017;11:00:00;212,5;W;T0 
02.01.2017;11:15:00;322,5;W;T0 
02.01.2017;11:30:00;262,5;W;T0 
02.01.2017;11:45:00;260;W;T0 
02.01.2017;12:00:00;172,5;W;T0 
02.01.2017;12:15:00;120;W;T0 
02.01.2017;12:30:00;65;W;T0 
02.01.2017;12:45:00;85;W;T0 
02.01.2017;13:00:00;92,5;W;T0 
02.01.2017;13:15:00;152,5;W;T0 
02.01.2017;13:30:00;272,5;W;T0 
02.01.2017;13:45:00;290;W;T0 
02.01.2017;14:00:00;277,5;W;T0 
02.01.2017;14:15:00;382,5;W;T0 
02.01.2017;14:30:00;337,5;W;T0 
02.01.2017;14:45:00;370;W;T0 
02.01.2017;15:00:00;315;W;T0 
02.01.2017;15:15:00;250;W;T0 
02.01.2017;15:30:00;200;W;T0 
02.01.2017;15:45:00;375;W;T0 
02.01.2017;16:00:00;427,5;W;T0 
02.01.2017;16:15:00;352,5;W;T0 
02.01.2017;16:30:00;287,5;W;T0 
02.01.2017;16:45:00;350;W;T0 
02.01.2017;17:00:00;345;W;T0 
02.01.2017;17:15:00;247,5;W;T0 
02.01.2017;17:30:00;187,5;W;T0 
